player,url
John Berner,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player38172.html
Zac MacMath,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player30907.html
Clint Irwin,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36368.html
Bobby Burling,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player13089.html
Michael Harrington,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player12812.html
Joseph Greenspan,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player41022.html
Drew Moor,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player4090.html
Ben Newnam,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40898.html
John Neeskens,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player38645.html
Shane O'Neill,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player34497.html
Axel Sjoberg,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40836.html
Sam Cronin,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player15916.html
Nick LaBrocca,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player13091.html
Dillon Powers,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36370.html
Marcelo Sarvas,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player34289.html
Jared Watts,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player38175.html
Caleb Calvert,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36586.html
Charles Eloundou,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36366.html
Vicente Sanchez,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player37031.html
Sean St. Ledger,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40866.html
Marc Burch,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player8652.html
James Riley,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player4019.html
Carlos Alvarez,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36321.html
Marlon Hairston,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player38173.html
Lucas Pittinari ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40834.html
Juan Ramirez ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40835.html
Dillon Serna ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player36371.html
Dominique Badji ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player40833.html
Kevin Doyle ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player17747.html
Maynor Figueroa ,http://denverpost.sportsdirectinc.com/soccer/soccer-mls-players.aspx?page=/data/mls/players/player17677.html
