player,url
Christhian Adames,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player112057.html
Tyler Anderson,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player113208.html
Nolan Arenado,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player44011.html
John Axford,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player43879.html
Brandon Barnes,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player104270.html
Christian Bergman,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player109756.html
Chad Bettis,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player107054.html
Charlie Blackmon,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player107157.html
Rex Brothers,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player43986.html
Brooks Brown,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105745.html
Miguel Castro,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player117353.html
Simon Castro,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106031.html
Tyler Chatwood,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105433.html
Jorge De La Rosa,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player42163.html
Daniel Descalso,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player107183.html
Jairo Diaz,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player108196.html
Corey Dickerson,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player109379.html
Yohan Flande,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106072.html
Christian Friedrich,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105357.html
Dustin Garneau,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player110587.html
Gonzalez Germen,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player109482.html
Carlos Gonzalez,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player43449.html
Jonathan Grey,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player115240.html
Jason Gurka,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player109235.html
David Hale,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player104928.html
Nick Hundley,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player43518.html
Kyle Kendrick,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player43167.html
DJ LeMahieu,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106108.html
Boone Logan,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player42848.html
Jordan Lyles,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106005.html
Michael McKenry,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105943.html
Justin Miller,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player104305.html
Justin Morneau,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player42027.html
Tom Murphy,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player114296.html
Scott Oberg,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player114705.html
Adam Ottavino,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106570.html
Kyle Parker,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106988.html
Ben Paulsen,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105700.html
Jose Reyes,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player42083.html
Wilin Rosario,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player104738.html
Chris Rusin,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player106093.html
Rafael Ynoa,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player105744.html
Troy Tulowitzki,http://denverpost.sportsdirectinc.com/baseball/mlb-players.aspx?page=/data/mlb/players/player42932.html
Baltimore Orioles,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2959.html
Boston Red Sox,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2966.html
NY Yankees ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2970.html
New York Yankees,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2970.html
N.Y. Yankees,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2970.html
Tampa Bay Rays,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2960.html
Toronto Blue Jays,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2984.html
Chicago White Sox ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2974.html
Cleveland Indians ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2980.html
Detroit Tigers,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2978.html
Kansas City Royals,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2965.html
Minnesota Twins,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2983.html
Houston Astros,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2981.html
LA Angels ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2979.html
Los Angeles Angels,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2979.html
L.A. Angels,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2979.html
Oakland A's,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2969.html
Oakland Athletics,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2969.html
Seattle Mariners,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2973.html
Texas Rangers,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2977.html
Atlanta Braves,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2957.html
Miami Marlins,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2963.html
NY Mets ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2964.html
New York Mets,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2964.html
N.Y. Mets,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2964.html
Philadelphia Phillies ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2958.html
Washington Nationals,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2972.html
Chicago Cubs ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2982.html
Cincinnati Reds ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2961.html
Milwaukee Brewers,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2976.html
Pittsburgh Pirates,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2971.html
St. Louis Cardinals,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2975.html
Arizona Diamondbacks,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2968.html
Colorado Rockies,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2956.html
LA Dodgers ,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2967.html
Los Angeles Dodgers,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2967.html
L.A. Dodgers,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2967.html
San Diego Padres,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2955.html
San Francisco Giants,http://denverpost.sportsdirectinc.com/baseball/mlb-teams.aspx?page=/data/mlb/teams/team2962.html
